"","SymphonyID","Zip"
"1","10000698","33573"
"2","10002268","32257"
"3","10004496","21040"
"4","10004568","42420"
"5","10004935","23831"
"6","10005071","67410"
"7","10006031","76799"
"8","10200138","53575"
"9","10236698","95348"
"10","10316966","19808"
"11","10323818",NA
"12","10325768","00983"
"13","10331828","11777"
"14","10331854","13413"
"15","10332304","99133"
"16","10332866","84790"
"17","10332939","80917"
"18","10332988","14642"
"19","10489735","76234"
"20","10493792","31406"
"21","10499734","33173"
"22","10499793","91403"
"23","10499866","93662"
"24","10503211","45014"
"25","10504482","95973"
"26","10504796","85140"
"27","10537431","42420"
"28","10571564","42431"
"29","10571589","84078"
"30","106167","91321"
"31","10621540","85258"
"32","10621542","41501"
"33","10621550","45420"
"34","10621560","35660"
"35","10621600","41240"
"36","10621614","63664"
"37","10621667","30518"
"38","10621722","78154"
"39","10621900",NA
"40","10621941","12953"
"41","10622156","95834"
"42","10622396","48089"
"43","10622572","68506"
"44","10622662","54729"
"45","10622666","67156"
"46","10622671","37013"
"47","10622693","52349"
"48","10622757","54701"
"49","10622798","48307"
"50","10622800","50401"
"51","10622851","50327"
"52","10622853","97850"
"53","10622886","79601"
"54","10622892","50125"
"55","10622904","89074"
"56","10623042","75034"
"57","10623052","72450"
"58","10623188","73401"
"59","10623393","95472"
"60","10623400","83318"
"61","10623484","80301"
"62","10623537","27028"
"63","10623560","84042"
"64","10623614","15275"
"65","10623631","92220"
"66","10623657","17309"
"67","10623673","02721"
"68","10623691","18020"
"69","10623741","19044"
"70","10623944","18508"
"71","10623957","37311"
"72","10623959","14221"
"73","10623961","17603"
"74","10623977","19335"
"75","10623987","28680"
"76","10624005","15801"
"77","10624007","18103"
"78","10624025","18504"
"79","10624175","48912"
"80","10624194","48617"
"81","10624329","75182"
"82","10624333","76634"
"83","10624390","76048"
"84","10624412","78758"
"85","10624420","76116"
"86","10624434","75032"
"87","10624469","55082"
"88","10624474","78240"
"89","10624482","30309"
"90","10624538","75001"
"91","10624542","25130"
"92","10624564","29483"
"93","10624580","30046"
"94","10624631","24273"
"95","10624641","25130"
"96","10624718","74728"
"97","10624728","74133"
"98","10624764","85308"
"99","10624779",NA
"100","10624797","74012"
"101","10624803","73034"
"102","10624821","73401"
"103","10624937","45230"
"104","10624941","44312"
"105","10625117","08033"
"106","10625131","42101"
"107","10625144","27614"
"108","10625164","30214"
"109","10625381","86351"
"110","10625551",NA
"111","10625555","00601"
"112","10625627","03908"
"113","10625641","46278"
"114","10625774","33414"
"115","10625923","28208"
"116","10626065","46143"
"117","10626150","37660"
"118","10626174","19083"
"119","10626194","15212"
"120","10626196",NA
"121","10626206","15009"
"122","10626220","44223"
"123","10626231","15801"
"124","10626245","24084"
"125","10626290","81428"
"126","10626310","92024"
"127","10626357","11777"
"128","10626394","89119"
"129","10626418","34996"
"130","10667733","01752"
"131","10667940","53223"
"132","10668147","95019"
"133","10670314","60637"
"134","10672421","32804"
"135","107602","00601"
"136","10911839","98466"
"137","10912621","92618"
"138","11145033","48038"
"139","11145036","97031"
"140","11145041","11704"
"141","11253160","61089"
"142","11275047","50501"
"143","11288434","98362"
"144","11288647","53948"
"145","11288745","55417"
"146","11288778","47302"
"147","11289028","69101"
"148","11289357","58501"
"149","11289595","97005"
"150","11289826","00601"
"151","11291627","58501"
"152","11292129","01010"
"153","11292252",NA
"154","11292279","55125"
"155","11321045","39402"
"156","11334487","11596"
"157","11335275","02420"
"158","11335297","33618"
"159","11345698","11697"
"160","11348364","43082"
"161","11349284","08755"
"162","11350329","42101"
"163","11350347","40207"
"164","11350671","72117"
"165","11351044","67530"
"166","11351058","33016"
"167","11351117","27215"
"168","11351128","20176"
"169","11351292","89148"
"170","11351449","85351"
"171","11351464","79410"
"172","11351488","60061"
"173","11351516","94109"
"174","11351549","01005"
"175","11352314","12601"
"176","11357599","18360"
"177","11413644","48444"
"178","11430325","89431"
"179","11436774","39503"
"180","11436806","21061"
"181","11436818","98055"
"182","11436918","63640"
"183","11436946","54304"
"184","11436993","75904"
"185","11437064","14305"
"186","11437108","35601"
"187","11437218","45069"
"188","11437284","29572"
"189","11437487","43623"
"190","11437491","06518"
"191","11437644","21740"
"192","11437662","93720"
"193","11437678","11201"
"194","11437748","29662"
"195","11437941","95608"
"196","11438039","37887"
"197","11438116","75093"
"198","11438165","11209"
"199","11438443","33143"
"200","11438455",NA
"201","11438508","36117"
"202","11438510","30009"
"203","11438518","36117"
"204","11438602","27203"
"205","11438633","77521"
"206","11438681","32256"
"207","11438685","02910"
"208","11438703","35233"
"209","11440752","27203"
"210","11440997","40214"
"211","11441003","07011"
"212","11441040","60173"
"213","11441076","91740"
"214","11441099","46140"
"215","11441223","48314"
"216","11441407","60429"
"217","11441463","84121"
"218","11441473","53209"
"219","11441508","07730"
"220","11468199","50266"
"221","11468609","19718"
"222","11469160","97756"
"223","11469367","76712"
"224","11469751","95991"
"225","11472637","80905"
"226","115802","38329"
"227","117747","37217"
"228","11802910","98121"
"229","11808794","29003"
"230","11809410","92647"
"231","11815352","02081"
"232","11815585","00601"
"233","11816235","29020"
"234","118185","37920"
"235","11822588","80501"
"236","11822676","35976"
"237","11822756","35294"
"238","11822849","35004"
"239","11822911","31792"
"240","11822923","36801"
"241","11822937","32514"
"242","11822945","35071"
"243","11823118","83687"
"244","11823143","85262"
"245","11823279","75601"
"246","11823313","71854"
"247","11823335","72034"
"248","11823337","00988"
"249","11823403","72556"
"250","11823413","72205"
"251","11823468","95811"
"252","11823535","92103"
"253","11823581","94070"
"254","11823658","06457"
"255","11823816","94111"
"256","11823992","38654"
"257","11824016","95501"
"258","11824072","04276"
"259","11824221","18657"
"260","11824312","99508"
"261","11824333","35582"
"262","11824438",NA
"263","11824450","78217"
"264","11824700","80021"
"265","11824763","80524"
"266","11824885","62301"
"267","11824889","23692"
"268","11824998","93940"
"269","11825112","95825"
"270","11825150","95490"
"271","11825424","80045"
"272","11825428","95765"
"273","11825510","36609"
"274","11825734","00601"
"275","11825820","06790"
"276","11825838","06082"
"277","11826051","91436"
"278","11826250","06035"
"279","11826380","73142"
"280","11826460","16335"
"281","11826528","87109"
"282","11826600","92102"
"283","11826646","28303"
"284","11826710","70002"
"285","11826712","34243"
"286","11827064","48116"
"287","11827232","33705"
"288","11827266","32446"
"289","11827350",NA
"290","11827469","78412"
"291","11827524","30331"
"292","11827626","39901"
"293","11827686","39819"
"294","11827829","30248"
"295","11828014","30309"
"296","11828034",NA
"297","11828054","30633"
"298","11828156","31069"
"299","11828162","30110"
"300","11828222","31064"
"301","11828248","37416"
"302","11828260","96821"
"303","11828502","33409"
"304","11828531","60640"
"305","11828588","60005"
"306","11828624","47802"
"307","11828757","33143"
"308","11828942","47978"
"309","11828956","62286"
"310","11829083","61115"
"311","11829138","98109"
"312","11829467","61074"
"313","11829482","62948"
"314","11829558","65065"
"315","11829689","60564"
"316","11829724","85255"
"317","11829794","10461"
"318","11829804","98019"
"319","11829867","96001"
"320","11829914","95825"
"321","11829923","63110"
"322","11830126","75025"
"323","11830150","61081"
"324","11830160","31501"
"325","11830166","61832"
"326","11830246","46112"
"327","11830404","55425"
"328","11830494","30080"
"329","11830514","46216"
"330","11830561","49283"
"331","11830738","46250"
"332","11830899","50613"
"333","11830973","52501"
"334","11830989","52401"
"335","11831025","50036"
"336","11831270","98686"
"337","11831539","21740"
"338","11831543","66213"
"339","11831553","95928"
"340","11831561","66213"
"341","11831569","42303"
"342","11831589","41101"
"343","11831600","40065"
"344","11831800","40456"
"345","11831820","55439"
"346","11831837","40504"
"347","11831865","23454"
"348","11831907","41701"
"349","11831921","40391"
"350","11831953","99114"
"351","11831959","40831"
"352","11831969","29640"
"353","11831971","40503"
"354","11832040","73071"
"355","11832305","27529"
"356","11832381","30144"
"357","11832607","71111"
"358","11832722","71351"
"359","11832744","16105"
"360","11832863","20186"
"361","11832893","21054"
"362","11832960","21224"
"363","11833056","06071"
"364","11833432","66442"
"365","11833810","60611"
"366","11833947",NA
"367","11834604","02760"
"368","11834778","02324"
"369","11834806","05443"
"370","11835008","27705"
"371","11835132","15213"
"372","11835160","48910"
"373","11835224","48307"
"374","11835246","15301"
"375","11835323","49601"
"376","11835332","03264"
"377","11835365","85542"
"378","11835548","48034"
"379","11835574","48187"
"380","11835741",NA
"381","11835747","49601"
"382","11835873","87505"
"383","11835901","14605"
"384","11835937","55416"
"385","11836078","19496"
"386","11836280","99508"
"387","11836437","76308"
"388","11838598","80220"
"389","11838774","60069"
"390","11838819","55431"
"391","11838872","65201"
"392","11838892","07869"
"393","11838898","71106"
"394","11838910","45669"
"395","11838936","65711"
"396","11838968","65265"
"397","11839046","46013"
"398","11839146","11776"
"399","11839166","98022"
"400","11839319","65536"
"401","11839551","68112"
"402","11839563","68046"
"403","11839601","68008"
"404","11839605","68847"
"405","11839977","98115"
"406","11839999","97229"
"407","11840075","89121"
"408","11840305","06790"
"409","11840450","20186"
"410","11840512","07724"
"411","11840538","02888"
"412","11840603","18018"
"413","11840985","87505"
"414","11840989","78232"
"415","11841057","88061"
"416","11841167","92835"
"417","11841255","94541"
"418","11841551","08873"
"419","11841688","95242"
"420","11841895","49525"
"421","11841919","33813"
"422","11841991","14226"
"423","11842098","19046"
"424","11842154","95401"
"425","11842256","75010"
"426","11842283","17602"
"427","11842311","14541"
"428","11842350","43130"
"429","11842540","38363"
"430","11842647","13601"
"431","11842669","98052"
"432","11842707","80501"
"433","11843015","85018"
"434","11843051","27405"
"435","11843335","06484"
"436","11843337","10022"
"437","11843379","06810"
"438","11843459",NA
"439","11843655","14618"
"440","11843676","98223"
"441","11843939","97701"
"442","11844156","97031"
"443","11844797","27882"
"444","11844863","95616"
"445","11844951","23223"
"446","11844959","27030"
"447","11844979","30363"
"448","11845023","98133"
"449","11845057","28117"
"450","11845442","46804"
"451","11845492","98226"
"452","11845674","37604"
"453","11845831","21204"
"454","11845957","45066"
"455","11846169","43082"
"456","11846187","48307"
"457","11846189","37067"
"458","11846236","53403"
"459","11846398","95661"
"460","11846582","27408"
"461","11846591","44811"
"462","11846609","94945"
"463","11846720","43616"
"464","11846873","37076"
"465","11846944","44240"
"466","11846954","77726"
"467","11847036","92592"
"468","11847087","43123"
"469","11847103","04240"
"470","11847206","73072"
"471","11847262","74601"
"472","11847290","73034"
"473","11847364","73013"
"474","11847376","74401"
"475","11847380","73120"
"476","11847392","73142"
"477","11847459","73505"
"478","11847652","97401"
"479","11847943","19023"
"480","11848034","10927"
"481","11848267","90026"
"482","11848326","95501"
"483","11848362","33901"
"484","11848409","37620"
"485","11848425","23507"
"486","11848427","19803"
"487","11848482","98362"
"488","11848520","00601"
"489","11848596","20715"
"490","11848604","83642"
"491","11848612","02905"
"492","11848678","43119"
"493","11848803","91320"
"494","11848899","06611"
"495","11849239","98195"
"496","11849246","20706"
"497","11849300","93901"
"498","11849335",NA
"499","11849507","19426"
"500","11849523","94939"
"501","11850183","32804"
"502","11850250","33033"
"503","11850401","97209"
"504","11850564","28210"
"505","11850646","29407"
"506","11850680","29621"
"507","11850690","30331"
"508","11850697","29696"
"509","11850805","29204"
"510","11850900","29605"
"511","11850924","55112"
"512","11850940","30720"
"513","11850998","68516"
"514","11851080","53901"
"515","11851122","41017"
