Zip Code,DMA,Country,Population
1001,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",17537
1002,Springfield-Holyoke MA,"HAMPSHIRE, MA",30280
1003,Springfield-Holyoke MA,"HAMPSHIRE, MA",11131
1005,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",5014
1007,Springfield-Holyoke MA,"HAMPSHIRE, MA",14906
1008,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",1272
1009,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",384
1010,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",3724
1011,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",1507
1012,Springfield-Holyoke MA,"HAMPSHIRE, MA",531
1013,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",23026
1014,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",0
1020,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",30148
1022,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",2604
1026,Springfield-Holyoke MA,"HAMPSHIRE, MA",958
1027,Springfield-Holyoke MA,"HAMPSHIRE, MA",17870
1028,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",16156
1030,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",11211
1031,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",1151
1032,Springfield-Holyoke MA,"HAMPSHIRE, MA",551
1033,Springfield-Holyoke MA,"HAMPSHIRE, MA",6300
1034,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",2313
1035,Springfield-Holyoke MA,"HAMPSHIRE, MA",5301
1036,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",5193
1037,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",772
1038,Springfield-Holyoke MA,"HAMPSHIRE, MA",2897
1039,Springfield-Holyoke MA,"HAMPSHIRE, MA",1129
1040,Springfield-Holyoke MA,"HAMPDEN HDHA, MA",40362
1050,Springfield-Holyoke MA,"HAMPSHIRE, MA",2334
1053,Springfield-Holyoke MA,"HAMPSHIRE, MA",1658
1054,Springfield-Holyoke MA,"FRANKLIN, MA",1997
1056,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",21331
1057,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",8801
1060,Springfield-Holyoke MA,"HAMPSHIRE, MA",15729
1062,Springfield-Holyoke MA,"HAMPSHIRE, MA",10587
1063,Springfield-Holyoke MA,"HAMPSHIRE, MA",574
1068,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",1849
1069,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",8919
1070,Springfield-Holyoke MA,"HAMPSHIRE, MA",637
1071,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",1206
1072,Springfield-Holyoke MA,"FRANKLIN, MA",1490
1073,Springfield-Holyoke MA,"HAMPSHIRE, MA",6090
1074,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",477
1075,Springfield-Holyoke MA,"HAMPSHIRE, MA",17755
1077,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",9711
1079,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",480
1080,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",2532
1081,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",1827
1082,Springfield-Holyoke MA,"HAMPSHIRE, MA",10637
1083,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",3182
1084,Springfield-Holyoke MA,"HAMPSHIRE, MA",183
1085,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",41652
1088,Springfield-Holyoke MA,"HAMPSHIRE, MA",399
1089,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",28671
1092,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",1133
1094,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",327
1095,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",14659
1096,Springfield-Holyoke MA,"HAMPSHIRE, MA",2607
1097,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",54
1098,Springfield-Holyoke MA,"HAMPSHIRE, MA",1186
1101,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",0
1103,Springfield-Holyoke MA,"HAMPDEN HDHA, MA",2409
1104,Springfield-Holyoke MA,"HAMPDEN HDHA, MA",23635
1105,Springfield-Holyoke MA,"HAMPDEN HDHA, MA",11601
1106,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",16048
1107,Springfield-Holyoke MA,"HAMPDEN HDHA, MA",11304
1108,Springfield-Holyoke MA,"HAMPDEN HDHA, MA",28925
1109,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",30125
1116,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",0
1118,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",14774
1119,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",13236
1128,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",2798
1129,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",6750
